Date,C5TC,C2,C3,C5,C7,C8,C9,C10,C14,C16,C17
2016-05-11,5521.0,,,,,,,,,,
2016-05-12,5552.0,,,,,,,,,,
2016-05-13,6286.0,,,,,,,,,,
2016-05-16,6740.0,,,,,,,,,,
2016-05-17,7791.0,,,,,,,,,,
2016-05-18,7729.0,,,,,,,,,,
2016-05-19,7378.0,,,,,,,,,,
2016-05-20,6981.0,,,,,,,,,,
2016-05-23,6946.0,,,,,,,,,,
2016-05-24,6726.0,,,,,,,,,,
2016-05-25,6281.0,,,,,,,,,,
2016-05-26,6175.0,,,,,,,,,,
2016-05-27,6346.0,,,,,,,,,,
2016-05-31,6538.0,,,,,,,,,,
2016-06-01,6541.0,,,,,,,,,,
2016-06-02,6438.0,,,,,,,,,,
2016-06-03,6754.0,,,,,,,,,,
2016-06-06,6789.0,,,,,,,,,,
2016-06-07,6769.0,,,,,,,,,,
2016-06-08,7054.0,,,,,,,,,,
2016-06-09,7164.0,,,,,,,,,,
2016-06-10,7241.0,,,,,,,,,,
2016-06-13,7274.0,,,,,,,,,,
2016-06-14,7329.0,,,,,,,,,,
2016-06-15,7170.0,,,,,,,,,,
2016-06-16,6938.0,,,,,,,,,,
2016-06-17,6533.0,,,,,,,,,,
2016-06-20,6315.0,,,,,,,,,,
2016-06-21,6108.0,,,,,,,,,,
2016-06-22,6107.0,,,,,,,,,,
2016-06-23,6253.0,,,,,,,,,,
2016-06-24,6452.0,,,,,,,,,,
2016-06-27,6491.0,,,,,,,,,,
2016-06-28,6595.0,,,,,,,,,,
2016-06-29,6784.0,,,,,,,,,,
2016-06-30,7110.0,,,,,,,,,,
2016-07-01,7353.0,,,,,,,,,,
2016-07-04,7490.0,,,,,,,,,,
2016-07-05,7386.0,,,,,,,,,,
2016-07-06,7265.0,,,,,,,,,,
2016-07-07,7188.0,,,,,,,,,,
2016-07-08,7149.0,,,,,,,,,,
2016-07-11,7085.0,,,,,,,,,,
2016-07-12,7044.0,,,,,,,,,,
2016-07-13,7369.0,,,,,,,,,,
2016-07-14,7529.0,,,,,,,,,,
2016-07-15,7548.0,,,,,,,,,,
2016-07-18,7481.0,,,,,,,,,,
2016-07-19,7258.0,,,,,,,,,,
2016-07-20,6859.0,,,,,,,,,,
2016-07-21,6632.0,,,,,,,,,,
2016-07-22,6498.0,,,,,,,,,,
2016-07-25,6320.0,,,,,,,,,,
2016-07-26,6059.0,,,,,,,,,,
2016-07-27,5723.0,,,,,,,,,,
2016-07-28,5530.0,,,,,,,,,,
2016-07-29,5440.0,,,,,,,,,,
2016-08-01,5354.0,,,,,,,,,,
2016-08-02,5369.0,,,,,,,,,,
2016-08-03,5369.0,,,,,,,,,,
2016-08-04,5363.0,,,,,,,,,,
2016-08-05,5446.0,,,,,,,,,,
2016-08-08,5497.0,,,,,,,,,,
2016-08-09,5357.0,,,,,,,,,,
2016-08-10,5503.0,,,,,,,,,,
2016-08-11,5791.0,,,,,,,,,,
2016-08-12,6236.0,,,,,,,,,,
2016-08-15,6457.0,,,,,,,,,,
2016-08-16,6507.0,,,,,,,,,,
2016-08-17,6214.0,,,,,,,,,,
